Co zmienia uczenie maszynowe w stosunki do tradycyjnego podejścia do rozwiązywania problemów;Uczenie algorytmu na podstawie danych zamiast pisania reguł ręcznie;;1
Skrót CNN + co to?;Convolutional Neural Network - przetwarzanie danych poprzez zmniejszanie rozmiaru (uogólnianie) | rozpoznawanie obrazów;;1
Zastosowanie CNN;Przetwarzanie obrazów;;1
Skrót RNN + co to?;Recurrent Neural Network;;1
Co to klasyfikacja/regresja?;Przypisywanie do grup/Szacowanie wartości;;1
Podział uczenia ze względu na nadzór;Nadzorowane, nienadzorowane, częściowo nadzorowane, ze wzmocnieniem;;1
Co to uczenie nadzorowane/nienadzorowane?;Przy nadzorowanych etykietowanie wartości (klasyfikacja)/przy nienadzorowanym klasteryzacja;;1
Co to uczenie częściowo nadzorowane?;Dajemy pare przykładów, reszty się domyśla na podstawie klasteryzacji, którą przeprowadził;;1
Co to uczenie wzmacniane?;Funkcja nagrody i funkcja kary;;1
Co to sample?;Jeden wiersz danych;;1
Co to batch?Zbiór próbek;;1
Co to epoch?;Iteracja przez dane (podejście do uczenia);;1
Uczenie ze względu na dostęp do danych;batch (kompletny zbiór danych), online (po kawałeczku, gdy wszystkie dane nie mieszczą się w pamięci);;1
uczenie za względu na sposób uogólnienia;oparty o: instancje (model nieparametryczny) lub o model (model parametryczny);;1
Model nieparametryczny;Oparty o instancje - klasyfikacja/regresja nowych danych na podstawie danych w modelu - gdy dużo danych to huj;;1
Model parametryczny;Oparty o model - w pamięci trzymać trzeba tylko model, on wykonuje regresję/klasyfikację na podstawie tego czego się nauczył;;1
Overfitting;Nadmierne dopasowanie danych - przeuczenie - niski błąd uczenia, wysoki błąd generalizacji;;1
Underfitting;Niedouczenie - zły model (np. liniowy dla danych nieliniowych);;1
Problemy dotyczące danych w uczeniu maszynowym;Za mało danych, dane niskiej jakości, nieistotne cechy/dane;;1
Błąd uczenia i błąd generalizacji;Błąd zbioru uczącego/testującego;;1
Jak radzić sobie z overfitting;Uprość model, zbierz więcej danych, usunąć outliers;;1
Co to outlier;Dana bardzo odstająca od reszty;;1
No Free Lunch Theorem;Nie znając założeń odnośnie danych, nie można powiedzieć, który model/algorytm będzie działał najlepiej;;1
CSV do Dataframe;pd.read_csv("path");;1
Statystyki dotyczące Dataframe;df.describe();;1
Macierz korelacji Dataframe;df.corr() - kwadratowa;;1
